frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
287,9556.6,30,491,270,,,,,,,,,,,,,,,
288,9588.8,29,493,265,,,,,,,,,,,,,,,
289,9617.4,30,495,274,,,,,,,,,,,,,,,
290,9653.0,32,495,292,,,,,,,,,,,,,,,
291,9684.9,32,498,319,,,,,,,,,,,,,,,
292,9718.8,33,501,352,,,,,,,,,,,,,,,
293,9760.2,32,500,386,,,,,,,,,,,,,,,
294,9786.0,32,502,418,,,,,,,,,,,,,,,
295,9817.0,30,503,444,,,,,,,,,,,,,,,
296,9852.6,30,504,460,,,,,,,,,,,,,,,
297,9884.8,29,505,463,,,,,,,,,,,,,,,
298,9916.9,30,505,455,,,,,,,,,,,,,,,
299,9953.8,33,504,433,,,,,,,,,,,,,,,
300,9984.7,34,504,402,,,,,,,,,,,,,,,
301,10020.8,34,502,367,,,,,,,,,,,,,,,
302,10052.9,34,504,330,,,,,,,,,,,,,,,
303,10085.0,34,501,299,,,,,,,,,,,,,,,
304,10117.0,31,501,279,,,,,,,,,,,,,,,
305,10152.8,30,499,266,,,,,,,,,,,,,,,
306,10184.7,29,498,266,,,,,,,,,,,,,,,
307,10216.9,30,497,279,,,,,,,,,,,,,,,
308,10253.0,33,492,299,,,,,,,,,,,,,,,
309,10284.8,33,490,329,,,,,,,,,,,,,,,
310,10317.0,31,492,364,,,,,,,,,,,,,,,
311,10353.1,33,487,397,,,,,,,,,,,,,,,
312,10384.8,32,490,428,,,,,,,,,,,,,,,
313,10420.8,29,488,451,,,,,,,,,,,,,,,
314,10452.9,29,488,462,,,,,,,,,,,,,,,
315,10485.0,29,486,462,,,,,,,,,,,,,,,
316,10517.0,31,485,449,,,,,,,,,,,,,,,
317,10553.0,32,483,424,,,,,,,,,,,,,,,
318,10585.0,32,485,392,,,,,,,,,,,,,,,
319,10617.0,34,486,356,,,,,,,,,,,,,,,
320,10653.0,34,487,322,,,,,,,,,,,,,,,
321,10685.1,33,487,293,,,,,,,,,,,,,,,
322,10717.3,31,488,275,,,,,,,,,,,,,,,
323,10752.8,30,489,266,,,,,,,,,,,,,,,
324,10785.0,30,490,271,,,,,,,,,,,,,,,
325,10818.1,32,492,285,,,,,,,,,,,,,,,
326,10853.0,32,493,310,,,,,,,,,,,,,,,
327,10884.9,33,495,341,,,,,,,,,,,,,,,
328,10916.9,32,496,375,,,,,,,,,,,,,,,
